name|id|weight||effects
 No Ring|0|0||
Abyss Seal|1|0.2||[{"effect":  "Increases the power of hexes by 7% at the cost of 30 HP per cast", "alters": "",  "method": "", "value": 0}]
Ancient Dragon Seal|2|0.2||[{"effect":  "Estus Flask use restores an additional 50 HP", "alters": "",  "method": "", "value": 0}]
Ash Knuckle Ring|3|0.8||[{"effect":  "Increases petrification resistance by 400 points", "alters": "Petrify RES",  "method": "add", "value": 400}]
Baneful Bird Ring|4|2||[{"effect":  "Increases stability of shield/weapon by 5 points", "alters": "",  "method": "", "value": 0}]
Bell Keeper's Seal|5|0.2||[{"effect":  "Summons you to the world of a player who has trespassed in the Bell Keeper's domain", "alters": "",  "method": "", "value": 0}]
Bloodbite Ring|6|1.5||[{"effect":  "Increases bleed resistance by 300", "alters": "Bleed RES",  "method": "add", "value": 300}]
Blue Seal|7|0.2||[{"effect":  "Increases HP by 3%", "alters": "HP",  "method": "mul", "value": 1.03}]
Blue Tearstone Ring|8|1||[{"effect":  "Increases physical defense by 35% when HP is below 30%", "alters": "",  "method": "", "value": 0}]
Bracing Knuckle Ring|9|1||[{"effect":  "Reduces weapon/armor/ring degradation by 50%/45%/45% (Respectively)", "alters": "",  "method": "", "value": 0}]
Chloranthy Ring|10|0.8||[{"effect":  "Increases stamina recovery rate by 25%", "alters": "Stamina Regeneration",  "method": "mul", "value": 1.25}]
Clear Bluestone Ring|11|0.8||[{"effect":  "Increases casting speed by 55%", "alters": "Cast Speed",  "method": "mul", "value": 1.55}]
Covetous Gold Serpent Ring|12|1.5||[{"effect":  "Increases item Discovery by 100%", "alters": "Item Discovery",  "method": "mul", "value": 2}]
Covetous Silver Serpent Ring|13|1.5||[{"effect":  "Fallen foes yield 30% more souls", "alters": "",  "method": "", "value": 0}]
Crest of Blood|14|0.2||[{"effect":  "Increases bleed damage", "alters": "Bleed BNS",  "method": "special", "value": 0}]
Crest of the Rat|15|0.2||[{"effect":  "Increases poison damage", "alters": "Poison BNS",  "method": "special", "value": 0}]
Cursebite Ring|16|0.8||[{"effect":  "Increases curse resistance by 400 points", "alters": "Curse RES",  "method": "add", "value": 400}]
Dark Clutch Ring|17|2||[{"effect":  "Increases Dark damage", "alters": "Dark BNS",  "method": "special", "value": 0},{"effect":  "Decreases physical defense by 80 points", "alters": "Physical Def",  "method": "add", "value": -80}]
Dark Quartz Ring|18|1||[{"effect":  "Increases dark defense by 150", "alters": "Dark DEF",  "method": "add", "value": 150}]
Delicate String|19|0.2||[{"effect":  "Increases the chance of being invaded", "alters": "",  "method": "", "value": 0}]
Dexterity Ring|20|1.5||[{"effect":  "Increases Dexterity by 5 points", "alters": "Dexterity",  "method": "add", "value": 5}]
Dispelling Ring|21|4||[{"effect":  "Increases Magic defense by 120 points", "alters": "Magic DEF",  "method": "add", "value": 120},{"effect":  "Increases Lightning defense by 120 points", "alters": "Lightning DEF",  "method": "add", "value": 120},{"effect":  "Increases Dark defense by 120 points", "alters": "Dark DEF",  "method": "add", "value": 120}]
Fire Clutch Ring|22|2||[{"effect":  "Increases Fire damage", "alters": "Fire BNS",  "method": "special", "value": 0},{"effect":  "Decreases physical defense by 80 points", "alters": "Physical Def",  "method": "add", "value": -80}]
First Dragon Ring|23|0.5||[{"effect":  "Increases HP by 3%", "alters": "HP",  "method": "mul", "value": 1.03},{"effect":  "Increases stamina by 5%", "alters": "Stamina",  "method": "mul", "value": 1.05},{"effect":  "Increases maximum load by 5%", "alters": "Equip Load",  "method": "mul", "value": 1.05}]
Flame Quartz Ring|24|1||[{"effect":  "Increases Fire defense by 150 points", "alters": "Fire DEF",  "method": "add", "value": 150}]
Flynn's Ring|25|0.2||[{"effect":  "Increases physical damage; Damage increases with lower equip load", "alters": "AR",  "method": "special", "value": 0}]
Gower's Ring of Protection|26|10||[{"effect":  "Nullifies critical hit damage taken from backstabs & negates some damage to the back", "alters": "",  "method": "", "value": 0}]
Guardian's Seal|27|0.2||[{"effect":  "Summons you to a Way of Blue member's world to protect them from invading Black Phantoms", "alters": "",  "method": "", "value": 0}]
Hawk Ring|28|0.2||[{"effect":  "Extends the range of arrows by 7.55%", "alters": "",  "method": "", "value": 0}]
