name|id|imageurl|effects
 No Rune|0||
Anti-Clockwise Metamorphosis (3)|1||[{"effect":  "Boosts Max Stamina 20%", "alters": "Stamina",  "method": "mul", "value": 1.20}]
Arcane Lake (3)|2||[{"effect":  "Increases Arcane DEF 10%", "alters": "Arcane DEF",  "method": "mul", "value": 1.10}]
Beast (3)|3||[{"effect":  "Boost effect from transformation +100", "alters": "",  "method": "", "value": 0}]
Blood Rapture (3)|4||[{"effect":  "V. ATKs restore 300 HP", "alters": "",  "method": "", "value": 0}]
Clawmark (3)|5||[{"effect":  "Strengthens V. ATKs 30%", "alters": "",  "method": "", "value": 0}]
Clear Deep Sea (3)|6||[{"effect":  "Increases slow poison resistance +300", "alters": "Slow Poison RES",  "method": "add", "value": 300}]
Clockwise Metamorphosis (3)|7||[{"effect":  "Boosts max HP +15%", "alters": "HP",  "method": "mul", "value": 1.15}]
Communion (5)|8||[{"effect": "Blood Vial Maximum +5", "alters": "",  "method": "", "value": 0}]
Corruption|9||[{"effect": "+1 Health Regen near death", "alters": "",  "method": "", "value": 0}]
Deep Sea (3)|10||[{"effect": "Increase frenzy resistance +300", "alters": "Frenzy RES",  "method": "add", "value": 300}]
Dissipating Lake (2)|11||[{"effect": "Increase Bolt defense +10%", "alters": "Bolt DEF",  "method": "mul", "value": 1.10}]
Eye (3)|12||[{"effect": "Item Discovery +100", "alters": "Discovery",  "method": "add", "value": 100}]
Fading Lake (2)|13||[{"effect": "Increases Fire DEF +10%", "alters": "Fire DEF",  "method": "mul", "value": 1.10}]
Formless Oedon (3)|14||[{"effect": "Quicksilver Bullet Max +5", "alters": "",  "method": "", "value": 0}]
Great Deep Sea (2)|15||[{"effect": "Increases Slow Poison RES +150", "alters": "Slow Poison RES",  "method": "add", "value": 150},{"effect": "Increases Rapid Poison RES +150", "alters": "Rapid Poison RES",  "method": "add", "value": 150},{"effect": "Increases Frenzy RES +150", "alters": "Frenzy RES",  "method": "add", "value": 150}]
Lake (3)|16||[{"effect": "Increases Physical DEF +7%", "alters": "Physical DEF",  "method": "mul", "value": 1.07}]
Hunter|17||[{"effect": "Stamina recovery speed increased", "alters": "",  "method": "", "value": 0}]
Great Lake (3)|18||[{"effect": "Increases Physical DEF +5%", "alters": "Physical DEF",  "method": "mul", "value": 1.05},{"effect": "Increases VS. Blunt DEF +5%", "alters": "VS. Blunt",  "method": "mul", "value": 1.05},{"effect": "Increases VS. Thrust DEF +5%", "alters": "VS. Thrust",  "method": "mul", "value": 1.05},{"effect": "Increses Blood DEF +5%", "alters": "Blood DEF", "method": "mul", "value": 1.05},{"effect": "Increses Fire DEF +5%", "alters": "Fire DEF", "method": "mul", "value": 1.05},{"effect": "Increses Bolt DEF +5%", "alters": "Bolt DEF", "method": "mul", "value": 1.05}]
